,,Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(?C),Spindle_Bearing_Temperature(?C),Spindle_Vibration(?m),Tool_Vibration(?m),Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN)
Normal_Operation,count,402.0,399.0,401.0,399.0,400.0,400.0,400.0,403.0,402.0,401.0,398.0,401.0
Normal_Operation,mean,117.78396225838308,4.793033931293233,6.483592163526185,17.272180451127817,47.452,35.351749999999996,1.0149599999999999,25.37498511166253,19180.878109452737,351.4139650872818,28.13125611535176,2.5042144638403987
Normal_Operation,std,24.948024342122743,1.068448109811267,0.4042116928300479,8.492083396291315,3.735657082038777,3.7899149827458007,0.34687421018898995,6.701191304186158,3232.071448459724,45.087062495673614,6.130679516855341,0.51232552531596
Normal_Operation,min,-14.32645418,3.053148837,5.283833449,4.5,37.8,24.8,0.01,2.161,13272.0,227.0,18.86069848,1.85
Normal_Operation,25%,99.4021443025,3.888834693,6.205196818,8.7,44.8,32.6,0.77225,20.740000000000002,16198.0,322.0,22.1545103475,1.99
Normal_Operation,50%,120.4087437,5.156912989,6.482740589,20.6,47.3,35.2,1.014,25.144,20150.0,357.0,30.51400825,2.7
Normal_Operation,75%,136.62498390000002,5.5156181745,6.774450311,24.3,50.1,38.1,1.2385,29.807000000000002,21772.0,382.0,33.92336502,2.99
Normal_Operation,max,176.2184501,11.35,7.644785584,35.5,60.3,45.4,1.994,45.726,25312.0,479.0,55.5524,3.45
Machine_Failure,count,415.0,415.0,415.0,415.0,412.0,414.0,415.0,415.0,415.0,415.0,413.0,414.0
Machine_Failure,mean,84.1795421686747,5.09961702826265,6.490105572479518,19.919277108433736,47.65995145631067,35.057729468599035,1.0093108433734939,25.654501204819272,21139.732530120484,348.90843373493976,23.088482903995157,3.048140096618358
Machine_Failure,std,25.870709045267006,0.8830697950164623,0.40632262498112093,8.535253093487349,3.6763362431665927,3.902433048008644,0.3392830352703092,6.610862125903388,4324.280991674075,44.69425171573832,4.918584992836716,0.5642065028906587
Machine_Failure,min,50.14,3.598775576,5.063480035,4.1,38.5,23.8,0.173,6.539,0.0,202.0,14.10999444,1.88
Machine_Failure,25%,65.72999999999999,4.566853902,6.202232423,11.6,45.1,32.324999999999996,0.782,21.066000000000003,18558.5,319.0,17.89931102,2.5524999999999998
Machine_Failure,50%,79.76,4.806130315,6.498037896,23.7,47.6,35.2,1.002,25.765,19945.0,346.0,24.7000207,2.86
Machine_Failure,75%,93.55000000000001,5.567856573,6.786287912500001,26.65,50.0,37.7,1.2345000000000002,30.4395,25391.0,380.0,26.1719204,3.59
Machine_Failure,max,175.1,6.960635908,7.584961608,35.6,59.5,49.5,2.0,42.693,27957.0,473.0,35.05926416,3.93
