Machine_ID,Sensor,rmse_mean,rmse_interp,rmse_knn
Makino-L3-Unit1-2015,Hydraulic_Pressure(bar),29.705146168770458,36.77296347408314,30.753940985421217
Makino-L3-Unit1-2015,Coolant_Pressure(bar),0.9799231711118068,1.2543567739970574,1.027683482706484
Makino-L3-Unit1-2015,Air_System_Pressure(bar),0.4084444719716481,0.5422753031942638,0.46837604107884306
Makino-L3-Unit1-2015,Coolant_Temperature,8.833735069240674,9.709924356101569,9.735006218149822
Makino-L3-Unit1-2015,Hydraulic_Oil_Temperature(?C),3.746032282270861,5.1970421278147745,4.004025491206092
Makino-L3-Unit1-2015,Spindle_Bearing_Temperature(?C),3.754595062553558,4.336665783094565,4.099594859761681
Makino-L3-Unit1-2015,Spindle_Vibration(?m),0.3333014843785863,0.4421429477227939,0.3571512850873708
Makino-L3-Unit1-2015,Tool_Vibration(?m),6.915005224459896,8.930876688028517,7.700134557772667
Makino-L3-Unit1-2015,Spindle_Speed(RPM),4100.394517146919,4765.3570223681845,4464.299643221321
Makino-L3-Unit1-2015,Voltage(volts),42.493558216155385,53.630551576299936,46.69486015518497
Makino-L3-Unit1-2015,Torque(Nm),5.72705773656741,7.389713881838106,6.784677342934748
Makino-L3-Unit1-2015,Cutting(kN),0.619965258715662,0.7800638934977111,0.6542641513258578
Makino-L2-Unit1-2015,Hydraulic_Pressure(bar),31.31139721062441,34.98175378254481,31.55371376069203
Makino-L2-Unit1-2015,Coolant_Pressure(bar),1.028495803435684,1.1800869772059175,1.064270256206029
Makino-L2-Unit1-2015,Air_System_Pressure(bar),0.39209422441670516,0.5177022589289433,0.4259074303455865
Makino-L2-Unit1-2015,Coolant_Temperature,8.388724957139585,10.907147446660145,9.620495420193489
Makino-L2-Unit1-2015,Hydraulic_Oil_Temperature(?C),4.050700665071123,4.8789885590732744,4.519768307729452
Makino-L2-Unit1-2015,Spindle_Bearing_Temperature(?C),3.7173598435111663,4.953794286220279,4.034872329700301
Makino-L2-Unit1-2015,Spindle_Vibration(?m),0.345012384370741,0.4116900549745433,0.3634095760983742
Makino-L2-Unit1-2015,Tool_Vibration(?m),6.340727488475988,8.206283151710364,6.658480993079212
Makino-L2-Unit1-2015,Spindle_Speed(RPM),3698.675329381247,4515.618918204294,4105.327661475778
Makino-L2-Unit1-2015,Voltage(volts),47.602198010802354,53.60122899970398,51.38806649336421
Makino-L2-Unit1-2015,Torque(Nm),6.113053042684815,6.596175699445811,6.689638810512899
Makino-L2-Unit1-2015,Cutting(kN),0.6429500170938858,0.7916895097598906,0.6946698934526854
Makino-L1-Unit1-2013,Hydraulic_Pressure(bar),29.534449632561106,36.09014759642679,30.92735732419307
Makino-L1-Unit1-2013,Coolant_Pressure(bar),1.0018184215481363,1.2787557173727226,1.0611281647005564
Makino-L1-Unit1-2013,Air_System_Pressure(bar),0.41220186898457734,0.48261204587661105,0.430788944740069
Makino-L1-Unit1-2013,Coolant_Temperature,8.015344549422464,10.170357293637457,9.640498855444058
Makino-L1-Unit1-2013,Hydraulic_Oil_Temperature(?C),3.64756005939738,4.510235202643307,4.109165574394807
Makino-L1-Unit1-2013,Spindle_Bearing_Temperature(?C),3.5379918486653077,4.555221249002298,4.108412143412106
Makino-L1-Unit1-2013,Spindle_Vibration(?m),0.33691146982798903,0.4250672220605996,0.38058871599965843
Makino-L1-Unit1-2013,Tool_Vibration(?m),6.879565213919762,7.633914568628737,7.397532669570877
Makino-L1-Unit1-2013,Spindle_Speed(RPM),4229.075027429137,4666.692154982448,4539.1498027255075
Makino-L1-Unit1-2013,Voltage(volts),47.07834203516209,56.00366543962196,51.13698454549111
Makino-L1-Unit1-2013,Torque(Nm),5.824564488269488,7.6643343203837855,6.434390636060327
Makino-L1-Unit1-2013,Cutting(kN),0.623046360045296,0.8156846021913379,0.6251031659263279
