configuration,n_sensors,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,auc_std
All 12 Sensors,12,0.9604884853320029,0.0032772275255010808,0.9625382747333967,0.9593388996738076,0.9608837668326317,0.9958820491845449,0.0005151288346663752
Top 8 Sensors,8,0.9614920149621561,0.0031950898915525843,0.9665869791531891,0.9567446486877514,0.9616045953555165,0.9961871062866772,0.00027289013861534254
Top 6 Sensors,6,0.9622177019249484,0.006334788237582376,0.9732323727636368,0.9512601556495192,0.9621045221169681,0.9966782313699083,0.0003592794350974532
Top 4 Sensors,4,0.9536924617668641,0.0031061679602417823,0.9552699368679715,0.9531506527154315,0.954180303421095,0.9960375877307662,0.0006665827669087912
Top 3 Sensors,3,0.9547532541071689,0.0014499062794947133,0.960119810942563,0.9498607253291187,0.9549487503650141,0.9951471029810061,0.00019266665328459276
