,,Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(?C),Spindle_Bearing_Temperature(?C),Spindle_Vibration(?m),Tool_Vibration(?m),Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN)
Normal_Operation,count,407.0,402.0,409.0,407.0,408.0,412.0,412.0,410.0,408.0,409.0,409.0,410.0
Normal_Operation,mean,120.45110362933661,4.729803556930348,6.504623014222496,16.174692874692877,47.89240196078431,34.96796116504854,1.036014563106796,25.37700487804878,19238.686274509804,345.2909535452323,27.710579980171147,2.519195121951219
Normal_Operation,std,24.006677176614797,1.0753115595140716,0.4264829690132135,8.971524374238747,3.8691326971561124,3.687143801057994,0.3359457504310114,6.067758271797247,3241.7605121735637,46.78665535108771,5.968535345447495,0.5330198012584557
Normal_Operation,min,15.32576081,3.053148837,5.479329636,4.5,35.8,22.6,-0.461,6.977,13272.0,207.0,0.0,1.85
Normal_Operation,25%,106.11596415,3.83179527,6.19332132,8.7,45.3,32.6,0.8392499999999999,21.298499999999997,16198.0,312.0,22.39431466,1.95
Normal_Operation,50%,121.6748171,5.142558592,6.520758735,12.2,48.0,35.1,1.0510000000000002,25.863,20218.5,344.0,25.62544283,2.75
Normal_Operation,75%,137.41881065,5.468254207499999,6.80558312,23.15,50.45,37.5,1.2415,29.2815,21622.25,376.0,33.35511961,2.99
Normal_Operation,max,179.8860999,11.3,7.712440729,98.2,61.4,46.0,1.942,41.595,27882.0,477.0,35.5812209,3.72
Machine_Failure,count,396.0,396.0,391.0,396.0,395.0,395.0,394.0,393.0,396.0,396.0,393.0,395.0
Machine_Failure,mean,85.88252525252526,5.135534983300505,6.5139040216419435,20.331565656565658,47.584050632911385,34.97848101265823,1.0052258883248733,25.448045801526725,21362.2702020202,349.550505050505,22.615140979592876,3.0785063291139236
Machine_Failure,std,27.863245409431332,0.9269326813918548,0.37950222182931054,8.30098902591351,3.878382597299274,3.8363566315695685,0.355749607800524,6.055634733321279,3780.0063304777154,43.744597927578944,5.381669021306349,0.587109452723772
Machine_Failure,min,50.15,3.625166945,5.4183556,4.1,36.2,23.4,0.088,5.775,12788.0,225.0,14.10999444,1.8
Machine_Failure,25%,64.2875,4.5642897915,6.26019211,12.8,45.150000000000006,32.4,0.7887500000000001,21.227,18467.0,320.0,16.96410507,2.55
Machine_Failure,50%,79.375,4.803382136,6.521778089,23.85,47.8,34.9,1.001,25.597,19984.0,349.0,24.53752056,2.89
Machine_Failure,75%,94.75,5.567856573,6.7587779605,27.0,50.2,37.6,1.234,29.282,25528.0,377.0,26.34668874,3.61
Machine_Failure,max,191.0,6.960635908,7.559884971,36.5,56.9,44.9,1.984,45.492,27957.0,472.0,36.25470838,3.93
