Model,Test_AUC,Test_AP,Test_Accuracy,Test_F1,CV_AUC_Mean,CV_AUC_Std,CV_AUC_Folds,Model_Path
RandomForest,0.9992167179885797,0.9992877041685908,0.9865525672371638,0.9866342648845686,0.9977586711764281,0.0012003488961781952,"[0.9986967241986615, 0.9969003170130327, 0.9991495393338058, 0.9958894401133946, 0.998157335223246]",results\models\randomforest_model.joblib
XGBoost,0.9994319710604204,0.9995052762618016,0.991442542787286,0.991556091676719,0.9992356887925071,0.0003913860955844948,"[0.9998591053187742, 0.9992250792532582, 0.9994330262225373, 0.9989014883061659, 0.9987597448618002]",results\models\xgboost_model.joblib
CatBoost,0.9994798050763849,0.9995478009503779,0.9902200488997555,0.9903846153846154,0.9993346970127781,0.0004146864787422254,"[0.9999647763296935, 0.9992955265938711, 0.9996102055279943, 0.9989723600283487, 0.9988306165839831]",results\models\catboost_model.joblib
